"Plot Title: CMSM3"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20154563, LBL: CMSM3 1 m)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20652824, LBL: CMSM3 10 cm)","Water Content, m³/m³ (LGR S/N: 20156370, SEN S/N: 20658013, LBL: CMSM3 30 cm)"
1,07/06/21 09:00:01 AM,0.1659,0.0401,0.1926
2,07/06/21 09:30:01 AM,0.1681,0.0405,0.1923
3,07/06/21 10:00:01 AM,0.1681,0.0405,0.1923
4,07/06/21 10:30:01 AM,0.1673,0.0401,0.1923
5,07/06/21 11:00:01 AM,0.1681,0.0405,0.1923
6,07/06/21 11:30:01 AM,0.1681,0.0413,0.1923
7,07/06/21 12:00:01 PM,0.1673,0.0413,0.1917
8,07/06/21 12:30:01 PM,0.1673,0.0413,0.1917
9,07/06/21 01:00:01 PM,0.1673,0.0413,0.1917
10,07/06/21 01:30:01 PM,0.1673,0.0421,0.1913
11,07/06/21 02:00:01 PM,0.1673,0.0434,0.1913
12,07/06/21 02:30:01 PM,0.1673,0.0442,0.1913
13,07/06/21 03:00:01 PM,0.1666,0.0454,0.1913
14,07/06/21 03:30:01 PM,0.1673,0.0462,0.1908
15,07/06/21 04:00:01 PM,0.1673,0.0474,0.1908
16,07/06/21 04:30:01 PM,0.1673,0.0482,0.1908
17,07/06/21 05:00:01 PM,0.1673,0.0482,0.1898
18,07/06/21 05:30:01 PM,0.1673,0.0482,0.1904
19,07/06/21 06:00:01 PM,0.1673,0.0490,0.1898
20,07/06/21 06:30:01 PM,0.1673,0.0490,0.1898
21,07/06/21 07:00:01 PM,0.1673,0.0482,0.1898
22,07/06/21 07:30:01 PM,0.1673,0.0474,0.1895
23,07/06/21 08:00:01 PM,0.1673,0.0474,0.1895
24,07/06/21 08:30:01 PM,0.1666,0.0462,0.1891
25,07/06/21 09:00:01 PM,0.1666,0.0462,0.1891
26,07/06/21 09:30:01 PM,0.1673,0.0454,0.1885
27,07/06/21 10:00:01 PM,0.1673,0.0442,0.1885
28,07/06/21 10:30:01 PM,0.1673,0.0434,0.1885
29,07/06/21 11:00:01 PM,0.1666,0.0425,0.1885
30,07/06/21 11:30:01 PM,0.1673,0.0421,0.1881
31,07/07/21 12:00:01 AM,0.1666,0.0413,0.1881
32,07/07/21 12:30:01 AM,0.1673,0.0401,0.1881
33,07/07/21 01:00:01 AM,0.1666,0.0384,0.1881
34,07/07/21 01:30:01 AM,0.1666,0.0384,0.1881
35,07/07/21 02:00:01 AM,0.1673,0.0375,0.1876
36,07/07/21 02:30:01 AM,0.1673,0.0371,0.1876
